participant_id,item_id,category,word_length,freq_rank,retention_level,recall_expected_answer,recall_response,recall_correct_gorilla,recognition_expected_answer,recognition_response,recognition_correct_gorilla,proficiency_score,exposure_composite,integrative_motivation_composite,multilingualism_count
16602608,59,adjective,3,461,0,bog,NA,0,soft,move,0,80,2,4.25,0
16602608,60,adjective,4,706,2,sean,sean,1,NA,NA,NA,80,2,4.25,0
16602609,1,concrete_noun,5,79,2,teach,teach,1,NA,NA,NA,55,3,1.5,2
16602609,2,concrete_noun,4,92,2,bean,bean,1,NA,NA,NA,55,3,1.5,2
16602609,3,concrete_noun,5,107,2,scoil,scoil,1,NA,NA,NA,55,3,1.5,2
16602609,4,concrete_noun,7,139,2,leabhar,leabhair,0,book,book,1,55,3,1.5,2
16602609,5,concrete_noun,4,144,1,lámh,NA,0,hand,hand,1,55,3,1.5,2
16602609,6,concrete_noun,7,157,2,airgead,arigead,0,money,money,1,55,3,1.5,2
16602609,7,concrete_noun,4,158,2,béal,beal,1,NA,NA,NA,55,3,1.5,2
16602609,8,concrete_noun,5,217,2,uisce,uisce,1,NA,NA,NA,55,3,1.5,2
16602609,9,concrete_noun,6,220,1,oileán,NA,0,island,island,0,55,3,1.5,2
16602609,10,concrete_noun,7,238,2,cathair,cathair,1,NA,NA,NA,55,3,1.5,2
16602609,11,concrete_noun,5,243,2,doras,doras,1,NA,NA,NA,55,3,1.5,2
16602609,12,concrete_noun,3,249,1,cos,NA,0,leg,leg,1,55,3,1.5,2
16602609,13,concrete_noun,4,258,1,croí,chroist,0,heart,heart,1,55,3,1.5,2
16602609,14,concrete_noun,9,310,2,múinteoir,muinteoi,0,teacher,teacher,1,55,3,1.5,2
16602609,15,concrete_noun,3,384,1,bia,itheam,0,food,food,1,55,3,1.5,2
16602609,16,abstract_noun,6,39,2,bliain,blian,0,year,food,0,55,3,1.5,2
16602609,17,abstract_noun,2,59,2,lá,lá,1,NA,NA,NA,55,3,1.5,2
16602609,18,abstract_noun,5,72,0,taobh,NA,0,side (noun),give,0,55,3,1.5,2
16602609,19,abstract_noun,5,83,2,scéal,sceal,1,NA,NA,NA,55,3,1.5,2
16602609,20,abstract_noun,3,84,2,tír,tir,1,NA,NA,NA,55,3,1.5,2
16602609,21,abstract_noun,4,85,0,saol,NA,0,lifetime,life,0,55,3,1.5,2
16602609,22,abstract_noun,5,89,0,ceist,fregair,0,question (noun),question,0,55,3,1.5,2
16602609,23,abstract_noun,6,115,2,teanga,leanga,0,language,language,0,55,3,1.5,2
16602609,24,abstract_noun,5,126,1,oíche,NA,0,night,night,1,55,3,1.5,2
16602609,25,abstract_noun,4,127,0,aire,NA,0,care/attention,money,0,55,3,1.5,2
16602609,26,abstract_noun,5,132,0,eolas,NA,0,knowledge,information,0,55,3,1.5,2
16602609,27,abstract_noun,9,142,2,seachtain,seachtain,1,NA,NA,NA,55,3,1.5,2
16602609,28,abstract_noun,6,278,2,aimsir,aimsir,1,NA,NA,NA,55,3,1.5,2
16602609,29,abstract_noun,5,381,0,gaoth,NA,0,wind,NA,0,55,3,1.5,2
16602609,30,abstract_noun,4,456,2,dath,dath,1,NA,NA,NA,55,3,1.5,2
16602609,31,verb,4,17,0,cuir,NA,0,to put,give,0,55,3,1.5,2
16602609,32,verb,4,20,0,déan,rionne,0,to do,NA,0,55,3,1.5,2
16602609,33,verb,7,24,1,tabhair,NA,0,to give/grant,give,0,55,3,1.5,2
16602609,34,verb,3,33,0,tar,NA,0,to come,after,0,55,3,1.5,2
16602609,35,verb,5,36,0,faigh,NA,0,to get/receive,NA,0,55,3,1.5,2
16602609,36,verb,5,41,0,téigh,chuaig,0,to go,house,0,55,3,1.5,2
16602609,37,verb,4,76,1,feic,feach,0,to see,see,0,55,3,1.5,2
16602609,38,verb,4,88,0,féad,ag abalta,0,to be able to,NA,0,55,3,1.5,2
16602609,39,verb,6,101,0,éirigh,NA,0,to get up/to rise,island,0,55,3,1.5,2
16602609,40,verb,4,119,0,iarr,NA,0,to ask,NA,0,55,3,1.5,2
16602609,41,verb,5,133,0,imigh,NA,0,to leave/go away,to go,0,55,3,1.5,2
16602609,42,verb,4,136,0,lean,NA,0,to follow,short,0,55,3,1.5,2
16602609,43,verb,7,140,2,scríobh,scriobh,1,NA,NA,NA,55,3,1.5,2
16602609,44,verb,5,163,2,siúil,suil,0,to walk,walk,0,55,3,1.5,2
16602609,45,verb,7,203,0,tosaigh,NA,0,to start,leave,0,55,3,1.5,2
16602609,46,adjective,5,80,2,ceart,ceart,1,NA,NA,NA,55,3,1.5,2
16602609,47,adjective,2,98,2,te,té,0,hot,hot,1,55,3,1.5,2
16602609,48,adjective,2,121,1,óg,oige,0,young,young,0,55,3,1.5,2
16602609,49,adjective,4,137,1,fada,NA,0,long,long,1,55,3,1.5,2
16602609,50,adjective,3,154,2,ard,ard,1,NA,NA,NA,55,3,1.5,2
16602609,51,adjective,6,212,0,iomlán,NA,0,full,NA,0,55,3,1.5,2
16602609,52,adjective,4,305,2,fíor,fior,0,true,true,1,55,3,1.5,2
16602609,53,adjective,5,315,NA,gearr,beag,0,short,NA,0,55,3,1.5,2
16602609,54,adjective,6,339,0,láidir,NA,0,strong,NA,0,55,3,1.5,2
16602609,55,adjective,3,364,0,beo,NA,0,alive,NA,0,55,3,1.5,2
16602609,56,adjective,5,370,2,bocht,bocht,1,NA,NA,NA,55,3,1.5,2
16602609,57,adjective,7,407,1,iontach,go hiontach,0,great,great,1,55,3,1.5,2
16602609,58,adjective,4,432,1,glan,NA,0,clean,clean,1,55,3,1.5,2
16602609,59,adjective,3,461,0,bog,NA,0,soft,NA,0,55,3,1.5,2
16602609,60,adjective,4,706,2,sean,shan,0,old,old,1,55,3,1.5,2
16602611,1,concrete_noun,5,79,2,teach,teach,1,NA,NA,NA,55,1.8,3,0
16602611,2,concrete_noun,4,92,2,bean,bean,1,NA,NA,NA,55,1.8,3,0
16602611,3,concrete_noun,5,107,2,scoil,scoil,1,NA,NA,NA,55,1.8,3,0
