Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: English,Spreadsheet: Irish,Spreadsheet: display,Store: spreadsheet
12,1788536909681,04/09/2026 15:48:29,1788536909681,1,04/09/2026 16:48:29,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,8,Trial,Check,hy52gd,1,response,checked,,102.5,102.5,102.5,102.5,102.5,102.5,1,0,0,,Time Limit,screen,0,screen,water,uisce,Trial,
13,1788536909779,04/09/2026 15:48:29,1788536909779,1,04/09/2026 16:48:29,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,9,Trial,Check,hy52gd,1,response,checked,,98,98,98,98,98,98,1,0,0,,Time Limit,screen,0,screen,island,oileán,Trial,
14,1788536909879,04/09/2026 15:48:29,1788536909879,1,04/09/2026 16:48:29,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,10,Trial,Check,hy52gd,1,response,checked,,100.20000000000073,100.20000000000073,100.20000000000073,100.20000000000073,100.20000000000073,100.20000000000073,1,0,0,,Time Limit,screen,0,screen,city,cathair,Trial,
15,1788536909977,04/09/2026 15:48:29,1788536909977,1,04/09/2026 16:48:29,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,11,Trial,Check,hy52gd,1,response,checked,,98.10000000000036,98.10000000000036,98.10000000000036,98.10000000000036,98.10000000000036,98.10000000000036,1,0,0,,Time Limit,screen,0,screen,door,doras,Trial,
16,1788536910078,04/09/2026 15:48:30,1788536910078,1,04/09/2026 16:48:30,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,12,Trial,Check,hy52gd,1,response,checked,,101.59999999999854,101.59999999999854,101.59999999999854,101.59999999999854,101.59999999999854,101.59999999999854,1,0,0,,Time Limit,screen,0,screen,leg,cos,Trial,
17,1788536913524,04/09/2026 15:48:33,1788536913524,1,04/09/2026 16:48:33,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,12,Trial,Trial,3izpks,2,continue,,,3446.09999999106,3439.600000000002,3446.09999999106,3446.09999999106,3439.600000000002,3446.09999999106,0,0,0,,Click To Continue,Continue Button,3,object-8,leg,cos,Trial,
18,1788536913525,04/09/2026 15:48:33,1788536913525,1,04/09/2026 16:48:33,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,12,Trial,Trial,3izpks,2,response,,,3446.7000000000007,3439.600000000002,3446.7000000000007,3446.7000000000007,3439.600000000002,3446.7000000000007,0,0,0,,Text Entry,Text Entry,2,object-4,leg,cos,Trial,
19,1788536913619,04/09/2026 15:48:33,1788536913619,1,04/09/2026 16:48:33,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,13,Trial,Check,hy52gd,1,response,checked,,100,100,100,100,100,100,1,0,0,,Time Limit,screen,0,screen,heart,croí,Trial,
20,1788536913718,04/09/2026 15:48:33,1788536913718,1,04/09/2026 16:48:33,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,14,Trial,Check,hy52gd,1,response,checked,,99.69999999999709,99.69999999999709,99.69999999999709,99.69999999999709,99.69999999999709,99.69999999999709,1,0,0,,Time Limit,screen,0,screen,teacher,múinteoir,Trial,
21,1788536913817,04/09/2026 15:48:33,1788536913817,1,04/09/2026 16:48:33,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,15,Trial,Check,hy52gd,1,response,checked,,98.40000000000146,98.40000000000146,98.40000000000146,98.40000000000146,98.40000000000146,98.40000000000146,1,0,0,,Time Limit,screen,0,screen,food,bia,Trial,
22,1788536913917,04/09/2026 15:48:33,1788536913917,1,04/09/2026 16:48:33,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,16,Trial,Check,hy52gd,1,response,checked,,100.70000000000073,100.70000000000073,100.70000000000073,100.70000000000073,100.70000000000073,100.70000000000073,1,0,0,,Time Limit,screen,0,screen,year,bliain,Trial,
23,1788536917228,04/09/2026 15:48:37,1788536917228,1,04/09/2026 16:48:37,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,16,Trial,Trial,3izpks,2,continue,,,3311.5999999999985,3304.2999999999993,3311.5999999999985,3311.5999999999985,3304.2999999999993,3311.5999999999985,0,0,0,,Click To Continue,Continue Button,3,object-8,year,bliain,Trial,
24,1788536917229,04/09/2026 15:48:37,1788536917229,1,04/09/2026 16:48:37,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,16,Trial,Trial,3izpks,2,response,year,,1498.7000000000007,3304.2999999999993,3311.5999999999985,1498.7000000000007,3304.2999999999993,3311.5999999999985,1,1812.8999999999978,0,,Text Entry,Text Entry,2,object-4,year,bliain,Trial,
25,1788536917324,04/09/2026 15:48:37,1788536917324,1,04/09/2026 16:48:37,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,17,Trial,Check,hy52gd,1,response,checked,,101.90000000000146,101.90000000000146,101.90000000000146,101.90000000000146,101.90000000000146,101.90000000000146,1,0,0,,Time Limit,screen,0,screen,day,lá,Trial,
26,1788536917422,04/09/2026 15:48:37,1788536917422,1,04/09/2026 16:48:37,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,18,Trial,Check,hy52gd,1,response,checked,,99.39999999999782,99.39999999999782,99.39999999999782,99.39999999999782,99.39999999999782,99.39999999999782,1,0,0,,Time Limit,screen,0,screen,side (noun),taobh,Trial,
27,1788536921780,04/09/2026 15:48:41,1788536921780,1,04/09/2026 16:48:41,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,18,Trial,Trial,3izpks,2,continue,,,4358.39999998808,4354.9000000000015,4358.39999998808,4358.39999998808,4354.9000000000015,4358.39999998808,0,0,0,,Click To Continue,Continue Button,3,object-8,side (noun),taobh,Trial,
28,1788536921786,04/09/2026 15:48:41,1788536921786,1,04/09/2026 16:48:41,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,18,Trial,Trial,3izpks,2,response,side,,3034,4354.9000000000015,4363.100000000002,3034,4354.9000000000015,4363.100000000002,0,1329.1000000000022,0,,Text Entry,Text Entry,2,object-4,side (noun),taobh,Trial,
