Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: English,Spreadsheet: Irish,Spreadsheet: Irish_Stripped,Spreadsheet: display,Spreadsheet: randomise_trials,Store: progress,Store: test_progress
11,1788536712382,04/09/2026 15:45:12,1788536712382,1,04/09/2026 16:45:12,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,2,Trial,Trial,3yj36p,1,response,aimsir,,1137.7999999999993,3932.5,3936,1137.7999999999993,3932.5,3936,1,2798.2000000000007,0,,Text Entry,Response,2,object-16,weather,aimsir,aimsir,Trial,1,,
12,1788536716239,04/09/2026 15:45:16,1788536716239,1,04/09/2026 16:45:16,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,3,Trial,Trial,3yj36p,1,continue,,,3860.3999999910593,3857.7999999999993,3860.3999999910593,3860.3999999910593,3857.7999999999993,3860.3999999910593,0,0,0,,Click To Continue,Continue Button,3,object-17,to write,scríobh,scriobh,Trial,1,,
13,1788536716242,04/09/2026 15:45:16,1788536716242,1,04/09/2026 16:45:16,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,3,Trial,Trial,3yj36p,1,response,scriobh,,1182.7999999999993,3857.7999999999993,3863.5999999940395,1182.7999999999993,3857.7999999999993,3863.5999999940395,1,2680.7999999940403,0,,Text Entry,Response,2,object-16,to write,scríobh,scriobh,Trial,1,,
14,1788536719731,04/09/2026 15:45:19,1788536719731,1,04/09/2026 16:45:19,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,4,Trial,Trial,3yj36p,1,continue,,,3494.7999999940403,3492.7000000000007,3494.7999999940403,3494.7999999940403,3492.7000000000007,3494.7999999940403,0,0,0,,Click To Continue,Continue Button,3,object-17,alive,beo,beo,Trial,1,,
15,1788536719732,04/09/2026 15:45:19,1788536719732,1,04/09/2026 16:45:19,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,4,Trial,Trial,3yj36p,1,response,saor,,1457.7999999999993,3492.7000000000007,3495.59999999106,1457.7999999999993,3492.7000000000007,3495.59999999106,0,2037.7999999910608,0,,Text Entry,Response,2,object-16,alive,beo,beo,Trial,1,,
16,1788536720699,04/09/2026 15:45:20,1788536720699,1,04/09/2026 16:45:20,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,5,Trial,Trial,3yj36p,1,continue,,,970,965.7999999999993,970,970,965.7999999999993,970,0,0,0,,Click To Continue,Continue Button,3,object-17,soft,bog,bog,Trial,1,,
17,1788536720700,04/09/2026 15:45:20,1788536720700,1,04/09/2026 16:45:20,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,5,Trial,Trial,3yj36p,1,response,,,971,965.7999999999993,971,971,965.7999999999993,971,0,0,0,,Text Entry,Response,2,object-16,soft,bog,bog,Trial,1,,
18,1788536723001,04/09/2026 15:45:23,1788536723001,1,04/09/2026 16:45:23,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,6,Trial,Trial,3yj36p,1,continue,,,2306.2000000000007,2300.7000000000007,2306.2000000000007,2306.2000000000007,2300.7000000000007,2306.2000000000007,0,0,0,,Click To Continue,Continue Button,3,object-17,old,sean,sean,Trial,1,,
19,1788536723001,04/09/2026 15:45:23,1788536723001,1,04/09/2026 16:45:23,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,6,Trial,Trial,3yj36p,1,response,sean,,991.6000000000022,2300.7000000000007,2306.9999999970205,991.6000000000022,2300.7000000000007,2306.9999999970205,1,1315.3999999970183,0,,Text Entry,Response,2,object-16,old,sean,sean,Trial,1,,
20,1788536723767,04/09/2026 15:45:23,1788536723767,1,04/09/2026 16:45:23,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,7,Trial,Trial,3yj36p,1,continue,,,772,766.5,772,772,766.5,772,0,0,0,,Click To Continue,Continue Button,3,object-17,to put,cuir,cuir,Trial,1,,
