Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: English,Spreadsheet: Irish,Spreadsheet: Irish_Stripped,Spreadsheet: display,Spreadsheet: randomise_trials,Store: progress,Store: test_progress
11,1788880527354,08/09/2026 15:15:27,1788880527354,1,08/09/2026 16:15:27,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,2,Trial,Trial,3yj36p,1,response,bocht,,1125.699999999999,2550.5,2554.60000001192,1125.699999999999,2550.5,2554.60000001192,1,1428.9000000119213,0,,Text Entry,Response,2,object-16,poor,bocht,bocht,Trial,1,,
12,1788880528084,08/09/2026 15:15:28,1788880528084,1,08/09/2026 16:15:28,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,3,Trial,Trial,3yj36p,1,continue,,,734.4999999880783,729.5,734.4999999880783,734.4999999880783,729.5,734.4999999880783,0,0,0,,Click To Continue,Continue Button,3,object-17,side (noun),taobh,taobh,Trial,1,,
13,1788880528085,08/09/2026 15:15:28,1788880528085,1,08/09/2026 16:15:28,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,3,Trial,Trial,3yj36p,1,response,,,735.1000000119202,729.5,735.1000000119202,735.1000000119202,729.5,735.1000000119202,0,0,0,,Text Entry,Response,2,object-16,side (noun),taobh,taobh,Trial,1,,
14,1788880530301,08/09/2026 15:15:30,1788880530301,1,08/09/2026 16:15:30,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,4,Trial,Trial,3yj36p,1,continue,,,2221.899999994039,2216.199999999999,2221.899999994039,2221.899999994039,2216.199999999999,2221.899999994039,0,0,0,,Click To Continue,Continue Button,3,object-17,hot,te,te,Trial,1,,
15,1788880530302,08/09/2026 15:15:30,1788880530302,1,08/09/2026 16:15:30,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,4,Trial,Trial,3yj36p,1,response,te,,948.8999999999996,2216.199999999999,2222.899999994039,948.8999999999996,2216.199999999999,2222.899999994039,1,1273.9999999940392,0,,Text Entry,Response,2,object-16,hot,te,te,Trial,1,,
16,1788880533593,08/09/2026 15:15:33,1788880533593,1,08/09/2026 16:15:33,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,5,Trial,Trial,3yj36p,1,continue,,,3297.19999999404,3291.699999999999,3297.19999999404,3297.19999999404,3291.699999999999,3297.19999999404,0,0,0,,Click To Continue,Continue Button,3,object-17,to write,scríobh,scriobh,Trial,1,,
17,1788880533593,08/09/2026 15:15:33,1788880533593,1,08/09/2026 16:15:33,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,5,Trial,Trial,3yj36p,1,response,scriobh,,1200.0000000000018,3291.699999999999,3297.9000000119213,1200.0000000000018,3291.699999999999,3297.9000000119213,1,2097.9000000119195,0,,Text Entry,Response,2,object-16,to write,scríobh,scriobh,Trial,1,,
18,1788880536572,08/09/2026 15:15:36,1788880536572,1,08/09/2026 16:15:36,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,6,Trial,Trial,3yj36p,1,continue,,,2984.499999994041,2975.4000000000015,2984.499999994041,2984.499999994041,2975.4000000000015,2984.499999994041,0,0,0,,Click To Continue,Continue Button,3,object-17,island,oileán,oilean,Trial,1,,
19,1788880536572,08/09/2026 15:15:36,1788880536572,1,08/09/2026 16:15:36,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,6,Trial,Trial,3yj36p,1,response,oilean,,1066.800000000003,2975.4000000000015,2984.600000000002,1066.800000000003,2975.4000000000015,2984.600000000002,1,1917.7999999999993,0,,Text Entry,Response,2,object-16,island,oileán,oilean,Trial,1,,
20,1788880538913,08/09/2026 15:15:38,1788880538913,1,08/09/2026 16:15:38,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,7,Trial,Trial,3yj36p,1,continue,,,2350.5999999940395,2345.7000000000007,2350.5999999940395,2350.5999999940395,2345.7000000000007,2350.5999999940395,0,0,0,,Click To Continue,Continue Button,3,object-17,clean,glan,glan,Trial,1,,
