Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: English,Spreadsheet: Irish,Spreadsheet: display,Store: spreadsheet
12,1788880680537,08/09/2026 15:18:00,1788880680537,1,08/09/2026 16:18:00,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,8,Trial,Check,hy52gd,1,response,checked,,100,100,100,100,100,100,1,0,0,,Time Limit,screen,0,screen,water,uisce,Trial,
13,1788880680638,08/09/2026 15:18:00,1788880680638,1,08/09/2026 16:18:00,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,9,Trial,Check,hy52gd,1,response,checked,,99.29999999999927,99.29999999999927,99.29999999999927,99.29999999999927,99.29999999999927,99.29999999999927,1,0,0,,Time Limit,screen,0,screen,island,oileán,Trial,
14,1788880680737,08/09/2026 15:18:00,1788880680737,1,08/09/2026 16:18:00,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,10,Trial,Check,hy52gd,1,response,checked,,100.39999999999964,100.39999999999964,100.39999999999964,100.39999999999964,100.39999999999964,100.39999999999964,1,0,0,,Time Limit,screen,0,screen,city,cathair,Trial,
15,1788880680838,08/09/2026 15:18:00,1788880680838,1,08/09/2026 16:18:00,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,11,Trial,Check,hy52gd,1,response,checked,,99.70000000000073,99.70000000000073,99.70000000000073,99.70000000000073,99.70000000000073,99.70000000000073,1,0,0,,Time Limit,screen,0,screen,door,doras,Trial,
16,1788880680937,08/09/2026 15:18:00,1788880680937,1,08/09/2026 16:18:00,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,12,Trial,Check,hy52gd,1,response,checked,,100.60000000000036,100.60000000000036,100.60000000000036,100.60000000000036,100.60000000000036,100.60000000000036,1,0,0,,Time Limit,screen,0,screen,leg,cos,Trial,
17,1788880683967,08/09/2026 15:18:03,1788880683967,1,08/09/2026 16:18:03,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,12,Trial,Trial,3izpks,2,continue,,,3029.799999976158,3024.7999999999993,3029.799999976158,3029.799999976158,3024.7999999999993,3029.799999976158,0,0,0,,Click To Continue,Continue Button,3,object-8,leg,cos,Trial,
18,1788880683968,08/09/2026 15:18:03,1788880683968,1,08/09/2026 16:18:03,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,12,Trial,Trial,3izpks,2,response,,,3030.3999999999996,3024.7999999999993,3030.3999999999996,3030.3999999999996,3024.7999999999993,3030.3999999999996,0,0,0,,Text Entry,Text Entry,2,object-4,leg,cos,Trial,
19,1788880684062,08/09/2026 15:18:04,1788880684062,1,08/09/2026 16:18:04,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,13,Trial,Check,hy52gd,1,response,checked,,99.80000000000109,99.80000000000109,99.80000000000109,99.80000000000109,99.80000000000109,99.80000000000109,1,0,0,,Time Limit,screen,0,screen,heart,croí,Trial,
20,1788880684162,08/09/2026 15:18:04,1788880684162,1,08/09/2026 16:18:04,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,14,Trial,Check,hy52gd,1,response,checked,,100.29999999999927,100.29999999999927,100.29999999999927,100.29999999999927,100.29999999999927,100.29999999999927,1,0,0,,Time Limit,screen,0,screen,teacher,múinteoir,Trial,
21,1788880684262,08/09/2026 15:18:04,1788880684262,1,08/09/2026 16:18:04,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,15,Trial,Check,hy52gd,1,response,checked,,99.89999999999964,99.89999999999964,99.89999999999964,99.89999999999964,99.89999999999964,99.89999999999964,1,0,0,,Time Limit,screen,0,screen,food,bia,Trial,
